Source	Target	Type	Weight
机会	老板	Undirected	18
机会	体验	Undirected	14
机会	店里	Undirected	10
机会	早餐	Undirected	25
用心	床品	Undirected	11
用心	店家	Undirected	15
用心	老板	Undirected	37
用心	体验	Undirected	11
用心	细节	Undirected	30
用心	房	Undirected	10
用心	早餐	Undirected	26
用心	主人	Undirected	10
用心	观景台	Undirected	14
用心	咖啡	Undirected	12
用心	梯田	Undirected	10
散步	早餐	Undirected	14
游玩	老板	Undirected	15
美女	老板	Undirected	11
景区	老板	Undirected	14
景区	体验	Undirected	10
景区	早餐	Undirected	16
孩子	店家	Undirected	11
孩子	老板	Undirected	17
孩子	体验	Undirected	13
孩子	老人	Undirected	15
孩子	早餐	Undirected	26
孩子	观景台	Undirected	10
床品	老板	Undirected	15
床品	体验	Undirected	10
床品	早餐	Undirected	15
客人	老板	Undirected	11
客人	早餐	Undirected	13
店家	体验	Undirected	11
店家	早餐	Undirected	30
店家	观景台	Undirected	10
